iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
1,-0.001910815156181888,3,21,23,0.06187540371808747,0.20356469790379955,0.19758780340241025,0.2004362486958943,0.19733073933921347,0.20108051065868163,0.13874332354575147,0.13874332354575147,0.13874332354575147,0.13874332354575147,0.13874332354575147
2,0.05628767788371548,8,40,43,0.17435338714477777,0.20351441116579982,0.19742532587450135,0.19639986577086418,0.2001264610105143,0.20253393617832033,0.22240531319674972,0.22240531319674972,0.22240531319674972,0.22240531319674972,0.22240531319674972
3,0.10724432774388991,10,60,63,0.22314355131420976,0.194255772360359,0.19614843852765346,0.19875215785408895,0.20447510339834676,0.20636852785954965,0.18782295671850893,0.18782295671850893,0.18782295671850893,0.18782295671850893,0.18782295671850893
4,0.015781274246255757,11,80,84,0.24846135929849963,0.2052612260003866,0.19218368686704784,0.2012272067903568,0.2012085723469301,0.20011930799528108,0.262055560240811,0.262055560240811,0.262055560240811,0.262055560240811,0.262055560240811
5,0.027044244144004068,14,98,102,0.3285040669720361,0.203298270516754,0.19143232469367097,0.2013503823020758,0.20237990014298504,0.20153912234451862,0.2816149167461406,0.2816149167461406,0.2816149167461406,0.2816149167461406,0.2816149167461406
6,-0.006357740134653569,14,117,119,0.3285040669720361,0.2017483998123705,0.19084749613534172,0.2029661556038911,0.20160529196305296,0.2028326564853464,0.25282963319976964,0.25282963319976964,0.25282963319976964,0.25282963319976964,0.25282963319976964
7,-0.003354116749658871,15,136,134,0.3566749439387324,0.2042760345425724,0.19311890683348729,0.20164883191218633,0.20248862063848544,0.19846760607326772,0.25523540723660826,0.25523540723660826,0.25523540723660826,0.25523540723660826,0.25523540723660826
8,-0.05316733585585297,15,158,152,0.3566749439387324,0.20776970782532658,0.19533445226304885,0.20128257293549395,0.1964653419344437,0.19914792504168594,0.2693164801240635,0.2693164801240635,0.2693164801240635,0.2693164801240635,0.2693164801240635
9,-0.06313465063444684,17,179,169,0.4155154439616659,0.20953213271406199,0.1938572940827321,0.20148157583465284,0.19894838592273964,0.19618061144581042,0.2682893200100866,0.2682893200100866,0.2682893200100866,0.2682893200100866,0.2682893200100866
10,0.04120100978488203,18,197,184,0.44628710262841953,0.20475722675328087,0.1991834096142152,0.2002542787190589,0.19730490833742648,0.19850017657602012,0.23142177772770933,0.23142177772770933,0.23142177772770933,0.23142177772770933,0.23142177772770933
11,-0.11943315644461426,18,217,200,0.44628710262841953,0.2012020294197294,0.19741231715437932,0.20219629803583422,0.2008859856667618,0.1983033697232958,0.2626243327044322,0.2626243327044322,0.2626243327044322,0.2626243327044322,0.2626243327044322
12,-0.06665501123539984,21,237,215,0.5447271754416719,0.20516665267446882,0.19651370100546137,0.20507588985175768,0.19947276897725272,0.19377098749106061,0.28760205028532754,0.28760205028532754,0.28760205028532754,0.28760205028532754,0.28760205028532754
13,-0.03827898428657189,22,256,230,0.5798184952529422,0.2032422176676827,0.20382806613364066,0.20419152826578707,0.19351974642228603,0.19521844151060586,0.3228630815293627,0.3228630815293627,0.3228630815293627,0.3228630815293627,0.3228630815293627
14,0.015415477580594692,22,275,244,0.5798184952529422,0.20781051061112293,0.19790901293742258,0.20040709850373317,0.2001857118248232,0.19368766612289917,0.3030116195282147,0.3030116195282147,0.3030116195282147,0.3030116195282147,0.3030116195282147
15,-0.020146490613223173,22,294,258,0.5798184952529422,0.20503464353934386,0.19677435419337178,0.19993239834067822,0.2021226997873437,0.196135904139264,0.3084601504442153,0.3084601504442153,0.3084601504442153,0.3084601504442153,0.3084601504442153
16,-0.09971614324926227,22,310,272,0.5798184952529422,0.20361137014061964,0.19703741414706807,0.20025876451986074,0.19778184653480727,0.2013106046576432,0.260470727487434,0.260470727487434,0.260470727487434,0.260470727487434,0.260470727487434
17,-0.02392547059348276,23,326,288,0.616186139423817,0.2080368677678589,0.19445360350192545,0.20263914359562374,0.19787907094162402,0.19699131419296737,0.2658179645012987,0.2658179645012987,0.2658179645012987,0.2658179645012987,0.2658179645012987
18,0.049666022830619994,23,346,304,0.616186139423817,0.20565715481636646,0.19754758059015642,0.2010240655072261,0.19678993238558068,0.19898126670066923,0.3062075562274853,0.3062075562274853,0.3062075562274853,0.3062075562274853,0.3062075562274853
19,0.029727121162197646,24,361,318,0.6539264674066639,0.2014149856044809,0.19517431758589207,0.20478304142064094,0.19838066223981063,0.2002469931491752,0.3226887298678795,0.3226887298678795,0.3226887298678795,0.3226887298678795,0.3226887298678795
20,-0.07614805346183257,24,379,332,0.6539264674066639,0.20342594666456384,0.19970190768367696,0.20057869807570852,0.19749697597825447,0.1987964715977942,0.2894811527290287,0.2894811527290287,0.2894811527290287,0.2894811527290287,0.2894811527290287
21,-0.05813885516563474,24,398,349,0.6539264674066639,0.19863990153519812,0.19666292250611084,0.2013205838229329,0.19763215614618335,0.2057444359895728,0.31921980961818236,0.31921980961818236,0.31921980961818236,0.31921980961818236,0.31921980961818236
22,-0.033994238168033736,24,417,364,0.6539264674066639,0.20254365144983014,0.1956644321905486,0.20075446105242536,0.1980430601841553,0.20299439512303974,0.3737797091053792,0.3737797091053792,0.3737797091053792,0.3737797091053792,0.3737797091053792
23,-0.143570353550609,26,434,378,0.7339691750802005,0.20022618049181778,0.19146351744320927,0.200179797164758,0.19876679392411423,0.2093637109760997,0.3189213135805293,0.3189213135805293,0.3189213135805293,0.3189213135805293,0.3189213135805293
24,-0.09371325594982981,26,449,393,0.7339691750802005,0.20146628423024673,0.192648262666513,0.20101333463467444,0.19766267106591104,0.20720944740265307,0.3341639056567272,0.3341639056567272,0.3341639056567272,0.3341639056567272,0.3341639056567272
25,-0.05904813309457792,26,463,408,0.7339691750802005,0.20079609804968937,0.1961481916046156,0.20466640484473256,0.19624234157841655,0.2021469639225471,0.29408843422389347,0.29408843422389347,0.29408843422389347,0.29408843422389347,0.29408843422389347
26,-0.013511962830535034,26,478,421,0.7339691750802005,0.20124648046707483,0.18896347620017495,0.20667783858186695,0.2022653816458972,0.20084682310498958,0.28375823513524173,0.28375823513524173,0.28375823513524173,0.28375823513524173,0.28375823513524173
27,-0.04374037453780837,26,493,436,0.7339691750802005,0.2013725136774187,0.19204278836777433,0.20053800271068176,0.20249637658213887,0.20355031866198847,0.2834259561676168,0.2834259561676168,0.2834259561676168,0.2834259561676168,0.2834259561676168
28,-0.01917025593822062,26,510,450,0.7339691750802005,0.19980870868205042,0.19422046761668835,0.2060788665470135,0.20080240055868337,0.19908955659556254,0.2566315970808273,0.2566315970808273,0.2566315970808273,0.2566315970808273,0.2566315970808273
29,-0.0009752588371636239,26,525,463,0.7339691750802005,0.20173426077619125,0.19481620570148858,0.20432453818955681,0.1998081972304325,0.19931679810232908,0.2771923420787242,0.2771923420787242,0.2771923420787242,0.2771923420787242,0.2771923420787242
30,0.010435921448805778,26,540,477,0.7339691750802005,0.1978771957256382,0.1970777284408945,0.20278878855940716,0.20191536330936102,0.200340923964699,0.3156872238471478,0.3156872238471478,0.3156872238471478,0.3156872238471478,0.3156872238471478
31,0.04167582947996831,26,554,490,0.7339691750802005,0.1973773672139181,0.1961332643550622,0.20468359427180977,0.19988148320233617,0.20192429095687262,0.3119344588032261,0.3119344588032261,0.3119344588032261,0.3119344588032261,0.3119344588032261
32,-0.06807827996544909,27,569,504,0.7765287894989964,0.19626116623378442,0.19507097313244984,0.20388668279126937,0.2013204534724311,0.2034607243700654,0.3426056840365855,0.3426056840365855,0.3426056840365855,0.3426056840365855,0.3426056840365855
33,-0.09163722010877745,27,584,519,0.7765287894989964,0.19838866529672877,0.19910681716463013,0.2054422510990544,0.20141908169068112,0.19564318474890313,0.3053127767627764,0.3053127767627764,0.3053127767627764,0.3053127767627764,0.3053127767627764
34,-0.10671087635271989,27,599,532,0.7765287894989964,0.202909809515439,0.20000381607858933,0.2035975768097699,0.19568483259171557,0.19780396500448374,0.3627062895453882,0.3627062895453882,0.3627062895453882,0.3627062895453882,0.3627062895453882
35,-0.12599785982392933,27,615,547,0.7765287894989964,0.20053994665819244,0.20001322008405462,0.20578572063870804,0.19415483260152658,0.19950628001751725,0.3354017423631846,0.3354017423631846,0.3354017423631846,0.3354017423631846,0.3354017423631846
36,-0.15193938762804232,27,628,561,0.7765287894989964,0.2010606935490815,0.20763395854043554,0.20210186460698187,0.19857144647163275,0.1906320368318654,0.2818536330024213,0.2818536330024213,0.2818536330024213,0.2818536330024213,0.2818536330024213
37,0.03883363549024005,27,641,573,0.7765287894989964,0.19602251846312596,0.20193343061165245,0.2025465828539435,0.199964387034924,0.1995330810363512,0.2763058232148906,0.2763058232148906,0.2763058232148906,0.2763058232148906,0.2763058232148906
38,0.020072990977300566,27,654,585,0.7765287894989964,0.19813241128496914,0.2001834644590421,0.20319826726123455,0.19578816718937106,0.20269768980538239,0.27472616681485945,0.27472616681485945,0.27472616681485945,0.27472616681485945,0.27472616681485945
39,0.05042060979318228,28,665,596,0.8209805520698303,0.1950228812674246,0.1992953349689679,0.20358854572653332,0.197860783251292,0.2042324547857817,0.3098196667326192,0.3098196667326192,0.3098196667326192,0.3098196667326192,0.3098196667326192
40,0.024828737206771593,28,678,611,0.8209805520698303,0.20050331591428827,0.2018517261520569,0.20295737532845967,0.19533737852317293,0.19935020408201864,0.24465340520479328,0.24465340520479328,0.24465340520479328,0.24465340520479328,0.24465340520479328
41,0.0997173720974594,29,690,624,0.867500567704723,0.20146525514246205,0.20282777693562365,0.20222064816432642,0.19584964039993782,0.19763667935764825,0.30840456568760743,0.30840456568760743,0.30840456568760743,0.30840456568760743,0.30840456568760743
42,0.15224695843810496,30,700,636,0.916290731874155,0.20105057487131395,0.2006799173639342,0.19992605692813392,0.19863648574590345,0.19970696509071684,0.2808852689876995,0.2808852689876995,0.2808852689876995,0.2808852689876995,0.2808852689876995
43,0.13225328769528066,31,710,647,0.9675840262617056,0.1986010356064419,0.20037118754154723,0.19875428612894974,0.20103007837436151,0.20124341234869955,0.25986851859165,0.25986851859165,0.25986851859165,0.25986851859165,0.25986851859165
44,0.18398753839270512,31,720,658,0.9675840262617056,0.20133975638311727,0.19778969222131437,0.20336135420208973,0.19566099264428302,0.20184820454919425,0.26952102569739955,0.26952102569739955,0.26952102569739955,0.26952102569739955,0.26952102569739955
45,0.1684245498251613,31,731,669,0.9675840262617056,0.20841652722074994,0.19277020214578805,0.1988129289462908,0.19754342250325435,0.2024569191839143,0.2609681487851025,0.2609681487851025,0.2609681487851025,0.2609681487851025,0.2609681487851025
46,0.15705842809678913,31,742,680,0.9675840262617056,0.2081146776316584,0.19099591547795042,0.2029106424366514,0.1950926320412375,0.2028861324124996,0.26627737899956816,0.26627737899956816,0.26627737899956816,0.26627737899956816,0.26627737899956816
47,0.24541503975541407,32,752,690,1.0216512475319814,0.2048581573879935,0.19798224650511814,0.20001726491891128,0.19626811255303003,0.20087421863494712,0.2882128220785055,0.2882128220785055,0.2882128220785055,0.2882128220785055,0.2882128220785055
48,0.20352584766092296,32,763,702,1.0216512475319814,0.20408393725346546,0.1921646638972776,0.20054951744722702,0.20115560911311278,0.2020462722889164,0.2642523975733675,0.2642523975733675,0.2642523975733675,0.2642523975733675,0.2642523975733675
49,0.20790654870774586,32,775,713,1.0216512475319814,0.20625359691073672,0.194569722746871,0.1988500588268364,0.19793718386105588,0.20238943765449832,0.287397381270591,0.287397381270591,0.287397381270591,0.287397381270591,0.287397381270591
50,0.17156044973347864,32,787,724,1.0216512475319814,0.20036834816676946,0.19260354336765784,0.204110486863627,0.1993304812598524,0.20358714034209238,0.34683445583665407,0.34683445583665407,0.34683445583665407,0.34683445583665407,0.34683445583665407
51,0.25749671773134275,32,798,735,1.0216512475319814,0.20142015778841244,0.19641815562088988,0.20063993252292425,0.1994173353938291,0.20210441867394513,0.3906800997711565,0.3906800997711565,0.3906800997711565,0.3906800997711565,0.3906800997711565
52,0.32253445140230064,32,807,746,1.0216512475319814,0.2024297236402918,0.19439721530026569,0.20149727169806694,0.20090919053002623,0.20076659883134773,0.3365695657720716,0.3365695657720716,0.3365695657720716,0.3365695657720716,0.3365695657720716
53,0.2821131088727496,32,819,759,1.0216512475319814,0.20528579971201308,0.19686153574524573,0.19812686547127592,0.1958542131315218,0.20387158593994226,0.3268240835229348,0.3268240835229348,0.3268240835229348,0.3268240835229348,0.3268240835229348
54,0.16137044997212424,32,831,770,1.0216512475319814,0.20393474959077118,0.19393864943496864,0.20345982372097582,0.19612575071505625,0.20254102653822575,0.39075401511165603,0.39075401511165603,0.39075401511165603,0.39075401511165603,0.39075401511165603
55,0.22252352141258153,32,841,782,1.0216512475319814,0.20309188943023235,0.19588042251346774,0.20230615731145898,0.19712306742923574,0.20159846331560544,0.3259958433227364,0.3259958433227364,0.3259958433227364,0.3259958433227364,0.3259958433227364
56,0.20954198633239712,32,849,793,1.0216512475319814,0.2020899812932529,0.19394372479014843,0.20353138772745075,0.19775899000362793,0.2026759161855199,0.3130022564991876,0.3130022564991876,0.3130022564991876,0.3130022564991876,0.3130022564991876
57,0.1865238447141756,32,858,806,1.0216512475319814,0.20258524416888507,0.19731850441671134,0.20323867585079086,0.19719573197360038,0.1996618435900128,0.29052901044825497,0.29052901044825497,0.29052901044825497,0.29052901044825497,0.29052901044825497
58,0.2641858504908101,32,871,819,1.0216512475319814,0.20173326464909763,0.19705483853579558,0.19936340469272856,0.19804066771212514,0.20380782441025455,0.3327301382996889,0.3327301382996889,0.3327301382996889,0.3327301382996889,0.3327301382996889
59,0.13010766212936023,32,880,830,1.0216512475319814,0.1994547008437754,0.19835545132932758,0.19905723287974098,0.20027309825703915,0.2028595166901172,0.27829604361130844,0.27829604361130844,0.27829604361130844,0.27829604361130844,0.27829604361130844
60,0.15923456694158503,32,891,843,1.0216512475319814,0.19932246358212322,0.19834783263742642,0.19666928245522125,0.20062379221496976,0.20503662911026246,0.2810287091599836,0.2810287091599836,0.2810287091599836,0.2810287091599836,0.2810287091599836
61,0.18077350316721932,32,901,855,1.0216512475319814,0.19873679922520113,0.19634964267299673,0.19829256787297356,0.2049232612971554,0.2016977289316757,0.2943346351774849,0.2943346351774849,0.2943346351774849,0.2943346351774849,0.2943346351774849
62,0.21844210876767162,32,912,868,1.0216512475319814,0.20178200379827027,0.1912359096675063,0.1984760016753814,0.20484071161348769,0.2036653732453536,0.29717833127054777,0.29717833127054777,0.29717833127054777,0.29717833127054777,0.29717833127054777
63,0.18531269734375905,32,924,881,1.0216512475319814,0.19860215889095584,0.1933747757583315,0.1992430486218504,0.20680341774837607,0.20197659898048564,0.30649395733120527,0.30649395733120527,0.30649395733120527,0.30649395733120527,0.30649395733120527
64,0.11948625338515867,32,935,895,1.0216512475319814,0.19971880462503178,0.19400682315503032,0.1978017818504714,0.20621438352019839,0.20225820684926882,0.3343171303304726,0.3343171303304726,0.3343171303304726,0.3343171303304726,0.3343171303304726
65,0.2160764294220525,32,947,909,1.0216512475319814,0.20033067815944303,0.19332560566240092,0.19770493586440777,0.20597766635583353,0.20266111395791622,0.33410346877094277,0.33410346877094277,0.33410346877094277,0.33410346877094277,0.33410346877094277
66,0.13014195847155743,32,959,923,1.0216512475319814,0.2028960369511939,0.19255223378791633,0.19981798175120233,0.20203930747003243,0.2026944400396558,0.31771129405263226,0.31771129405263226,0.31771129405263226,0.31771129405263226,0.31771129405263226
67,0.3055064303959261,32,974,938,1.0216512475319814,0.20093135022072373,0.19253637016380942,0.19974710476414428,0.20250262967421975,0.20428254517710248,0.32164281070245454,0.32164281070245454,0.32164281070245454,0.32164281070245454,0.32164281070245454
68,0.14917655007339298,32,987,952,1.0216512475319814,0.1980685557268513,0.19846391855176557,0.19778410932264165,0.20153964824081416,0.20414376815792631,0.3345504599571671,0.3345504599571671,0.3345504599571671,0.3345504599571671,0.3345504599571671
69,0.3097739845499002,32,1001,964,1.0216512475319814,0.1993496250367278,0.1959804512612066,0.19835152164204461,0.20103190283760716,0.20528649922241426,0.3604141071824784,0.3604141071824784,0.3604141071824784,0.3604141071824784,0.3604141071824784
70,0.20016467628096277,32,1013,976,1.0216512475319814,0.20177660286121776,0.195570256712406,0.1967396695054475,0.20008897472645001,0.20582449619448115,0.33676692645796213,0.33676692645796213,0.33676692645796213,0.33676692645796213,0.33676692645796213
71,0.27070400723245036,32,1025,989,1.0216512475319814,0.20053641622032414,0.19383389687080216,0.19890145171405582,0.19994981270711007,0.2067784224877072,0.333167173539422,0.333167173539422,0.333167173539422,0.333167173539422,0.333167173539422
72,0.20342183993890256,32,1037,1000,1.0216512475319814,0.19655191885396997,0.19512143330454698,0.19991776403798805,0.19884906685404946,0.2095598169494465,0.3104057664257174,0.3104057664257174,0.3104057664257174,0.3104057664257174,0.3104057664257174
73,0.15004537260654718,32,1049,1012,1.0216512475319814,0.19656089900554438,0.19727346097837833,0.19885650001510735,0.2001880670689035,0.2071210729320646,0.3096903123619026,0.3096903123619026,0.3096903123619026,0.3096903123619026,0.3096903123619026
74,0.17694133206893736,32,1062,1026,1.0216512475319814,0.1933319678873534,0.19879630758182779,0.20026997433747853,0.20116528440551076,0.20643646578783123,0.3318395188181425,0.3318395188181425,0.3318395188181425,0.3318395188181425,0.3318395188181425
75,0.19499173457650987,32,1073,1039,1.0216512475319814,0.192667981210256,0.20137364631215668,0.20109009377900341,0.20096582829612655,0.20390245040246055,0.3151241234133174,0.3151241234133174,0.3151241234133174,0.3151241234133174,0.3151241234133174
76,0.1499864833895273,32,1086,1052,1.0216512475319814,0.1969658789152139,0.2009708005209707,0.2002078493451559,0.19803364181018768,0.20382182940847457,0.31870087861207846,0.31870087861207846,0.31870087861207846,0.31870087861207846,0.31870087861207846
77,0.1609346692114081,32,1099,1064,1.0216512475319814,0.19938009582270808,0.198319007153535,0.20041122594280264,0.2001601780567882,0.20172949302416676,0.3343407452203717,0.3343407452203717,0.3343407452203717,0.3343407452203717,0.3343407452203717
78,0.1569730155086155,32,1112,1077,1.0216512475319814,0.19823888909549536,0.2001355483365277,0.20057138329884774,0.19876529140335564,0.20228888786577393,0.33164852376468934,0.33164852376468934,0.33164852376468934,0.33164852376468934,0.33164852376468934
79,0.14255683486914475,32,1125,1091,1.0216512475319814,0.19824923672723196,0.20048333786638306,0.200780649666007,0.19999181000010127,0.2004949657402776,0.3060641865574172,0.3060641865574172,0.3060641865574172,0.3060641865574172,0.3060641865574172
80,0.17865188542803975,32,1137,1105,1.0216512475319814,0.19854817765295477,0.19923525406725906,0.19892391763975734,0.20039289896716075,0.20289975167287194,0.3197055174252933,0.3197055174252933,0.3197055174252933,0.3197055174252933,0.3197055174252933
81,0.24515449030350212,32,1151,1119,1.0216512475319814,0.19884338288236464,0.19764854588505867,0.2010705065102571,0.19998374025350593,0.2024538244688131,0.331147136236114,0.331147136236114,0.331147136236114,0.331147136236114,0.331147136236114
82,0.15526377866179472,32,1164,1132,1.0216512475319814,0.20190829683835512,0.19669362192034107,0.20205531796259743,0.19915486765019155,0.20018789562851566,0.31946285685570763,0.31946285685570763,0.31946285685570763,0.31946285685570763,0.31946285685570763
83,0.20910439905185893,32,1176,1146,1.0216512475319814,0.2010040039259827,0.19762036822601337,0.20263133793985588,0.19800766720046903,0.2007366227076799,0.27437543401830966,0.27437543401830966,0.27437543401830966,0.27437543401830966,0.27437543401830966
84,0.17757477141955444,32,1187,1158,1.0216512475319814,0.19784964201395044,0.19672940546142276,0.20355143383050212,0.20023955294247944,0.2016299657516449,0.2398743687397911,0.2398743687397911,0.2398743687397911,0.2398743687397911,0.2398743687397911
85,0.18692177894605813,32,1199,1169,1.0216512475319814,0.1975700378729288,0.19323164387076888,0.2051644619557995,0.2010699178657876,0.2029639384347115,0.22823428604099266,0.22823428604099266,0.22823428604099266,0.22823428604099266,0.22823428604099266
86,0.15536435512006147,32,1211,1182,1.0216512475319814,0.1995259732078804,0.19516070749578268,0.20138393565436483,0.19998762945379348,0.20394175418817698,0.24616081615926932,0.24616081615926932,0.24616081615926932,0.24616081615926932,0.24616081615926932
87,0.2124973754380504,32,1223,1195,1.0216512475319814,0.19735457512017032,0.19575579849665548,0.2042296165797186,0.19934431377375234,0.20331569602970195,0.2421178175287946,0.2421178175287946,0.2421178175287946,0.2421178175287946,0.2421178175287946
88,0.16330697460002055,32,1234,1208,1.0216512475319814,0.19348100730973622,0.19610097400942514,0.20923173822767632,0.20112285091790244,0.20006342953525827,0.23261670528894798,0.23261670528894798,0.23261670528894798,0.23261670528894798,0.23261670528894798
89,0.16407873400320241,32,1244,1221,1.0216512475319814,0.19597296665426472,0.19479552228191194,0.20650343865701254,0.2026593802241411,0.20006869218266737,0.2259785068819892,0.2259785068819892,0.2259785068819892,0.2259785068819892,0.2259785068819892
90,0.04549403594471846,32,1254,1235,1.0216512475319814,0.19816701592463568,0.19653161452653442,0.20717641187702882,0.20193512526962087,0.19618983240218202,0.21342922472525178,0.21342922472525178,0.21342922472525178,0.21342922472525178,0.21342922472525178
91,0.2074849772488559,32,1264,1246,1.0216512475319814,0.1962660332148059,0.19649471856679676,0.20717389539523162,0.20370231748083548,0.1963630353423307,0.2201892130426985,0.2201892130426985,0.2201892130426985,0.2201892130426985,0.2201892130426985
92,0.10146045013710384,32,1272,1258,1.0216512475319814,0.19269913683343756,0.1945153137110149,0.2050928132685427,0.20878922382669682,0.19890351236030598,0.22439468050771474,0.22439468050771474,0.22439468050771474,0.22439468050771474,0.22439468050771474
93,0.13472606628213296,32,1282,1271,1.0216512475319814,0.19674500238004222,0.19431250144576873,0.20574036595027573,0.20222087675015685,0.20098125347375362,0.23411352693326473,0.23411352693326473,0.23411352693326473,0.23411352693326473,0.23411352693326473
94,0.168103566045004,32,1292,1284,1.0216512475319814,0.19582599330494696,0.1937202133579615,0.20439833382778513,0.20330471354174,0.20275074596756706,0.2721370601572669,0.2721370601572669,0.2721370601572669,0.2721370601572669,0.2721370601572669
95,0.15040414392329218,32,1302,1298,1.0216512475319814,0.195549591633182,0.19465132613405928,0.20327068595196196,0.2019015491887575,0.20462684709204237,0.2771558067412537,0.2771558067412537,0.2771558067412537,0.2771558067412537,0.2771558067412537
96,0.21807456501248113,32,1312,1311,1.0216512475319814,0.1968041756258568,0.1973179037418531,0.20268203565467055,0.1991139453697436,0.2040819396078768,0.3133290772224142,0.3133290772224142,0.3133290772224142,0.3133290772224142,0.3133290772224142
97,0.23305740227860305,32,1322,1325,1.0216512475319814,0.19761080497664235,0.19801003004558998,0.20534671321312525,0.19747187218002954,0.2015605795846129,0.32259859132141466,0.32259859132141466,0.32259859132141466,0.32259859132141466,0.32259859132141466
98,0.2948782472448952,32,1335,1340,1.0216512475319814,0.19777149178998835,0.19883521546810273,0.20588702319842817,0.19781406235842489,0.19969220718505465,0.3348706603769351,0.3348706603769351,0.3348706603769351,0.3348706603769351,0.3348706603769351
99,0.24321551433181024,32,1348,1355,1.0216512475319814,0.19993652902430595,0.19504837042825918,0.20617309964471267,0.20028210568961452,0.19855989521311002,0.3109576183839075,0.3109576183839075,0.3109576183839075,0.3109576183839075,0.3109576183839075
100,0.1708704824388175,32,1360,1368,1.0216512475319814,0.19845214047751367,0.19401133764612652,0.20906818681750766,0.1992036489200352,0.19926468613881473,0.3074277901153124,0.3074277901153124,0.3074277901153124,0.3074277901153124,0.3074277901153124
